Security Code,Security Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
517001,BIRLAYAM,24 Apr 2009,Stock  Split From Rs.10/- to Rs.1/-,05 May 2009,-,-,24 Apr 2009,04 May 2009,-
532166,ALKASEC,06 May 2009,Stock  Split From Rs.2/- to Rs.1/-,13 May 2009,-,-,06 May 2009,12 May 2009,-
532981,ANULABS,11 May 2009,Stock  Split From Rs.10/- to Rs.1/-,18 May 2009,-,-,11 May 2009,15 May 2009,-
530655,GOODLUC,12 Jun 2009,Stock  Split From Rs.10/- to Rs.2/-,19 Jun 2009,-,-,12 Jun 2009,18 Jun 2009,-
506131,INDIACO,19 Jun 2009,Stock  Split From Rs.10/- to Rs.2/-,26 Jun 2009,-,-,19 Jun 2009,25 Jun 2009,-
511092,JMDTELEFILM,03 Jul 2009,Stock  Split From Rs.10/- to Rs.1/-,-,10 Jul 2009,16 Jul 2009,03 Jul 2009,09 Jul 2009,-
532454,BHARTIARTL,24 Jul 2009,Stock  Split From Rs.10/- to Rs.5/-,-,31 Jul 2009,21 Aug 2009,24 Jul 2009,30 Jul 2009,-
531273,RADHEDE,30 Jul 2009,Stock  Split From Rs.10/- to Rs.1/-,06 Aug 2009,-,-,30 Jul 2009,05 Aug 2009,-
512149,AVANCE,03 Aug 2009,Stock  Split From Rs.10/- to Rs.1/-,08 Aug 2009,-,-,03 Aug 2009,06 Aug 2009,-
533016, AUSTRAL,07 Aug 2009,Stock  Split From Rs.10/- to Rs.1/-,10 Aug 2009,-,-,03 Aug 2009,07 Aug 2009,-
531612,KGNIND,07 Aug 2009,Stock  Split From Rs.10/- to Rs.1/-,10 Aug 2009,-,-,03 Aug 2009,07 Aug 2009,-
530901,ACIL,14 Aug 2009,Stock  Split From Rs.10/- to Rs.5/-,17 Aug 2009,-,-,10 Aug 2009,14 Aug 2009,-
532793,SHREEASHTA,20 Aug 2009,Stock  Split From Rs.10/- to Rs.1/-,21 Aug 2009,-,-,13 Aug 2009,20 Aug 2009,-
530091,OVERSECA,27 Aug 2009,Stock  Split From Rs.10/- to Rs.1/-,28 Aug 2009,-,-,21 Aug 2009,27 Aug 2009,-
504398,SJCORP,28 Aug 2009,Stock  Split From Rs.10/- to Rs.1/-,31 Aug 2009,-,-,24 Aug 2009,28 Aug 2009,-
503657,VEERENRGY,04 Sep 2009,Stock  Split From Rs.10/- to Rs.1/-,07 Sep 2009,-,-,31 Aug 2009,04 Sep 2009,-
531223,ANJANI,08 Sep 2009,Stock  Split From Rs.10/- to Rs.1/-,-,10 Sep 2009,12 Sep 2009,03 Sep 2009,09 Sep 2009,-
532369,RAMCOIND,14 Sep 2009,Stock  Split From Rs.10/- to Rs.1/-,15 Sep 2009,-,-,08 Sep 2009,14 Sep 2009,-
